Well of 96,Plate 1,Plate 2,Plate 3,Plate 4,Plate 5,Plate 6,Plate 7,Plate 8
A1,B8 B16 A22 B10,B20 B19 A7 B24,B3 A3 A23 A16,B6 B7 A8 B2,A7 B2 A4 A11,B15 A20 A6 A19,B1 A14 A5 A18,A2 B5 A7 B13
B1,D8 D16 C22 D10,D20 D19 C7 D24,D3 C3 C23 C16,D6 D7 C8 D2,C7 D2 C4 C11,D15 C20 C6 C19,D1 C14 C5 C18,C2 D5 C7 D13
C1,F8 F16 E22 F10,F20 F19 E7 F24,F3 E3 E23 E16,F6 F7 E8 F2,E7 F2 E4 E11,F15 E20 E6 E19,F1 E14 E5 E18,E2 F5 E7 F13
D1,H8 H16 G22 H10,H20 H19 G7 H24,H3 G3 G23 G16,H6 H7 G8 H2,G7 H2 G4 G11,H15 G20 G6 G19,H1 G14 G5 G18,G2 H5 G7 H13
E1,J8 J16 I22 J10,J20 J19 I7 J24,J3 I3 I23 I16,J6 J7 I8 J2,I7 J2 I4 I11,J15 I20 I6 I19,J1 I14 I5 I18,I2 J5 I7 J13
F1,L8 L16 K22 L10,L20 L19 K7 L24,L3 K3 K23 K16,L6 L7 K8 L2,K7 L2 K4 K11,L15 K20 K6 K19,L1 K14 K5 K18,K2 L5 K7 L13
G1,N8 N16 M22 N10,N20 N19 M7 N24,N3 M3 M23 M16,N6 N7 M8 N2,M7 N2 M4 M11,N15 M20 M6 M19,N1 M14 M5 M18,M2 N5 M7 N13
H1,P8 P16 O22 P10,P20 P19 O7 P24,P3 O3 O23 O16,P6 P7 O8 P2,O7 P2 O4 O11,P15 O20 O6 O19,P1 O14 O5 O18,O2 P5 O7 P13
A2,B11 A6 A3 A16,A20 A21 A6 B5,B7 B1 B16 B20,A2 B22 A21 A16,B18 B10 A1 A13,A7 A2 B9 A14,A11 A1 B16 B11,B22 B1 B15 A8
B2,D11 C6 C3 C16,C20 C21 C6 D5,D7 D1 D16 D20,C2 D22 C21 C16,D18 D10 C1 C13,C7 C2 D9 C14,C11 C1 D16 D11,D22 D1 D15 C8
C2,F11 E6 E3 E16,E20 E21 E6 F5,F7 F1 F16 F20,E2 F22 E21 E16,F18 F10 E1 E13,E7 E2 F9 E14,E11 E1 F16 F11,F22 F1 F15 E8
D2,H11 G6 G3 G16,G20 G21 G6 H5,H7 H1 H16 H20,G2 H22 G21 G16,H18 H10 G1 G13,G7 G2 H9 G14,G11 G1 H16 H11,H22 H1 H15 G8
E2,J11 I6 I3 I16,I20 I21 I6 J5,J7 J1 J16 J20,I2 J22 I21 I16,J18 J10 I1 I13,I7 I2 J9 I14,I11 I1 J16 J11,J22 J1 J15 I8
F2,L11 K6 K3 K16,K20 K21 K6 L5,L7 L1 L16 L20,K2 L22 K21 K16,L18 L10 K1 K13,K7 K2 L9 K14,K11 K1 L16 L11,L22 L1 L15 K8
G2,N11 M6 M3 M16,M20 M21 M6 N5,N7 N1 N16 N20,M2 N22 M21 M16,N18 N10 M1 M13,M7 M2 N9 M14,M11 M1 N16 N11,N22 N1 N15 M8
H2,P11 O6 O3 O16,O20 O21 O6 P5,P7 P1 P16 P20,O2 P22 O21 O16,P18 P10 O1 O13,O7 O2 P9 O14,O11 O1 P16 P11,P22 P1 P15 O8
A3,A11 B6 B21 B9,A12 B2 B6 A24,B15 A19 A5 A9,A4 A22 B8 B18,A3 A9 B15 B7,A16 B5 A18 A15,B3 A8 A12 B6,B24 A13 B2 B12
B3,C11 D6 D21 D9,C12 D2 D6 C24,D15 C19 C5 C9,C4 C22 D8 D18,C3 C9 D15 D7,C16 D5 C18 C15,D3 C8 C12 D6,D24 C13 D2 D12
C3,E11 F6 F21 F9,E12 F2 F6 E24,F15 E19 E5 E9,E4 E22 F8 F18,E3 E9 F15 F7,E16 F5 E18 E15,F3 E8 E12 F6,F24 E13 F2 F12
D3,G11 H6 H21 H9,G12 H2 H6 G24,H15 G19 G5 G9,G4 G22 H8 H18,G3 G9 H15 H7,G16 H5 G18 G15,H3 G8 G12 H6,H24 G13 H2 H12
E3,I11 J6 J21 J9,I12 J2 J6 I24,J15 I19 I5 I9,I4 I22 J8 J18,I3 I9 J15 J7,I16 J5 I18 I15,J3 I8 I12 J6,J24 I13 J2 J12
F3,K11 L6 L21 L9,K12 L2 L6 K24,L15 K19 K5 K9,K4 K22 L8 L18,K3 K9 L15 L7,K16 L5 K18 K15,L3 K8 K12 L6,L24 K13 L2 L12
G3,M11 N6 N21 N9,M12 N2 N6 M24,N15 M19 M5 M9,M4 M22 N8 N18,M3 M9 N15 N7,M16 N5 M18 M15,N3 M8 M12 N6,N24 M13 N2 N12
H3,O11 P6 P21 P9,O12 P2 P6 O24,P15 O19 O5 O9,O4 O22 P8 P18,O3 O9 P15 P7,O16 P5 O18 O15,P3 O8 O12 P6,P24 O13 P2 P12
A4,A7 B14 B18 B4,A14 A22 A3 B14,B13 A17 B9 A11,A5 B16 B3 A3,A14 A6 A15 B14,A10 B20 A11 A22,A4 A6 B22 A7,B12 A18 B16 A24
B4,C7 D14 D18 D4,C14 C22 C3 D14,D13 C17 D9 C11,C5 D16 D3 C3,C14 C6 C15 D14,C10 D20 C11 C22,C4 C6 D22 C7,D12 C18 D16 C24
C4,E7 F14 F18 F4,E14 E22 E3 F14,F13 E17 F9 E11,E5 F16 F3 E3,E14 E6 E15 F14,E10 F20 E11 E22,E4 E6 F22 E7,F12 E18 F16 E24
D4,G7 H14 H18 H4,G14 G22 G3 H14,H13 G17 H9 G11,G5 H16 H3 G3,G14 G6 G15 H14,G10 H20 G11 G22,G4 G6 H22 G7,H12 G18 H16 G24
E4,I7 J14 J18 J4,I14 I22 I3 J14,J13 I17 J9 I11,I5 J16 J3 I3,I14 I6 I15 J14,I10 J20 I11 I22,I4 I6 J22 I7,J12 I18 J16 I24
F4,K7 L14 L18 L4,K14 K22 K3 L14,L13 K17 L9 K11,K5 L16 L3 K3,K14 K6 K15 L14,K10 L20 K11 K22,K4 K6 L22 K7,L12 K18 L16 K24
G4,M7 N14 N18 N4,M14 M22 M3 N14,N13 M17 N9 M11,M5 N16 N3 M3,M14 M6 M15 N14,M10 N20 M11 M22,M4 M6 N22 M7,N12 M18 N16 M24
H4,O7 P14 P18 P4,O14 O22 O3 P14,P13 O17 P9 O11,O5 P16 P3 O3,O14 O6 O15 P14,O10 P20 O11 O22,O4 O6 P22 O7,P12 O18 P16 O24
A5,A17 B17 B23 A14,A10 B4 B9 B17,B14 A7 A4 B23,A6 A19 B14 A13,A17 B6 A19 B17,B7 B10 A5 B11,B8 A20 A23 B4,B10 A11 A15 B11
B5,C17 D17 D23 C14,C10 D4 D9 D17,D14 C7 C4 D23,C6 C19 D14 C13,C17 D6 C19 D17,D7 D10 C5 D11,D8 C20 C23 D4,D10 C11 C15 D11
C5,E17 F17 F23 E14,E10 F4 F9 F17,F14 E7 E4 F23,E6 E19 F14 E13,E17 F6 E19 F17,F7 F10 E5 F11,F8 E20 E23 F4,F10 E11 E15 F11
D5,G17 H17 H23 G14,G10 H4 H9 H17,H14 G7 G4 H23,G6 G19 H14 G13,G17 H6 G19 H17,H7 H10 G5 H11,H8 G20 G23 H4,H10 G11 G15 H11
E5,I17 J17 J23 I14,I10 J4 J9 J17,J14 I7 I4 J23,I6 I19 J14 I13,I17 J6 I19 J17,J7 J10 I5 J11,J8 I20 I23 J4,J10 I11 I15 J11
F5,K17 L17 L23 K14,K10 L4 L9 L17,L14 K7 K4 L23,K6 K19 L14 K13,K17 L6 K19 L17,L7 L10 K5 L11,L8 K20 K23 L4,L10 K11 K15 L11
G5,M17 N17 N23 M14,M10 N4 N9 N17,N14 M7 M4 N23,M6 M19 N14 M13,M17 N6 M19 N17,N7 N10 M5 N11,N8 M20 M23 N4,N10 M11 M15 N11
H5,O17 P17 P23 O14,O10 P4 P9 P17,P14 O7 O4 P23,O6 O19 P14 O13,O17 P6 O19 P17,P7 P10 O5 P11,P8 O20 O23 P4,P10 O11 O15 P11
A6,B22 A8 A5 B24,B8 A8 A15 B21,B8 B11 A24 A15,B4 B19 A15 A18,B16 B8 A2 B24,B2 B13 B3 B19,A15 B14 B2 B10,A16 A4 A1 B9
B6,D22 C8 C5 D24,D8 C8 C15 D21,D8 D11 C24 C15,D4 D19 C15 C18,D16 D8 C2 D24,D2 D13 D3 D19,C15 D14 D2 D10,C16 C4 C1 D9
C6,F22 E8 E5 F24,F8 E8 E15 F21,F8 F11 E24 E15,F4 F19 E15 E18,F16 F8 E2 F24,F2 F13 F3 F19,E15 F14 F2 F10,E16 E4 E1 F9
D6,H22 G8 G5 H24,H8 G8 G15 H21,H8 H11 G24 G15,H4 H19 G15 G18,H16 H8 G2 H24,H2 H13 H3 H19,G15 H14 H2 H10,G16 G4 G1 H9
E6,J22 I8 I5 J24,J8 I8 I15 J21,J8 J11 I24 I15,J4 J19 I15 I18,J16 J8 I2 J24,J2 J13 J3 J19,I15 J14 J2 J10,I16 I4 I1 J9
F6,L22 K8 K5 L24,L8 K8 K15 L21,L8 L11 K24 K15,L4 L19 K15 K18,L16 L8 K2 L24,L2 L13 L3 L19,K15 L14 L2 L10,K16 K4 K1 L9
G6,N22 M8 M5 N24,N8 M8 M15 N21,N8 N11 M24 M15,N4 N19 M15 M18,N16 N8 M2 N24,N2 N13 N3 N19,M15 N14 N2 N10,M16 M4 M1 N9
H6,P22 O8 O5 P24,P8 O8 O15 P21,P8 P11 O24 O15,P4 P19 O15 O18,P16 P8 O2 P24,P2 P13 P3 P19,O15 P14 P2 P10,O16 O4 O1 P9
A7,B5 A21 B1 B13,A19 B12 B18 B11,A2 B24 A8 A21,A1 A20 A7 B12,B19 B13 B11 B20,B23 A8 A1 A23,B13 B21 B19 A13,A22 B23 B20 B14
B7,D5 C21 D1 D13,C19 D12 D18 D11,C2 D24 C8 C21,C1 C20 C7 D12,D19 D13 D11 D20,D23 C8 C1 C23,D13 D21 D19 C13,C22 D23 D20 D14
C7,F5 E21 F1 F13,E19 F12 F18 F11,E2 F24 E8 E21,E1 E20 E7 F12,F19 F13 F11 F20,F23 E8 E1 E23,F13 F21 F19 E13,E22 F23 F20 F14
D7,H5 G21 H1 H13,G19 H12 H18 H11,G2 H24 G8 G21,G1 G20 G7 H12,H19 H13 H11 H20,H23 G8 G1 G23,H13 H21 H19 G13,G22 H23 H20 H14
E7,J5 I21 J1 J13,I19 J12 J18 J11,I2 J24 I8 I21,I1 I20 I7 J12,J19 J13 J11 J20,J23 I8 I1 I23,J13 J21 J19 I13,I22 J23 J20 J14
F7,L5 K21 L1 L13,K19 L12 L18 L11,K2 L24 K8 K21,K1 K20 K7 L12,L19 L13 L11 L20,L23 K8 K1 K23,L13 L21 L19 K13,K22 L23 L20 L14
G7,N5 M21 N1 N13,M19 N12 N18 N11,M2 N24 M8 M21,M1 M20 M7 N12,N19 N13 N11 N20,N23 M8 M1 M23,N13 N21 N19 M13,M22 N23 N20 N14
H7,P5 O21 P1 P13,O19 P12 P18 P11,O2 P24 O8 O21,O1 O20 O7 P12,P19 P13 P11 P20,P23 O8 O1 O23,P13 P21 P19 O13,O22 P23 P20 P14
A8,B7 B3 B2 B19,A11 B7 A5 A4,B19 A1 B18 A10,A12 A11 B13 B1,A12 A18 A21 A24,A24 B14 A4 A17,B23 A2 A24 B9,B18 A14 A12 B3
B8,D7 D3 D2 D19,C11 D7 C5 C4,D19 C1 D18 C10,C12 C11 D13 D1,C12 C18 C21 C24,C24 D14 C4 C17,D23 C2 C24 D9,D18 C14 C12 D3
C8,F7 F3 F2 F19,E11 F7 E5 E4,F19 E1 F18 E10,E12 E11 F13 F1,E12 E18 E21 E24,E24 F14 E4 E17,F23 E2 E24 F9,F18 E14 E12 F3
D8,H7 H3 H2 H19,G11 H7 G5 G4,H19 G1 H18 G10,G12 G11 H13 H1,G12 G18 G21 G24,G24 H14 G4 G17,H23 G2 G24 H9,H18 G14 G12 H3
E8,J7 J3 J2 J19,I11 J7 I5 I4,J19 I1 J18 I10,I12 I11 J13 J1,I12 I18 I21 I24,I24 J14 I4 I17,J23 I2 I24 J9,J18 I14 I12 J3
F8,L7 L3 L2 L19,K11 L7 K5 K4,L19 K1 L18 K10,K12 K11 L13 L1,K12 K18 K21 K24,K24 L14 K4 K17,L23 K2 K24 L9,L18 K14 K12 L3
G8,N7 N3 N2 N19,M11 N7 M5 M4,N19 M1 N18 M10,M12 M11 N13 N1,M12 M18 M21 M24,M24 N14 M4 M17,N23 M2 M24 N9,N18 M14 M12 N3
H8,P7 P3 P2 P19,O11 P7 O5 O4,P19 O1 P18 O10,O12 O11 P13 P1,O12 O18 O21 O24,O24 P14 O4 O17,P23 O2 O24 P9,P18 O14 O12 P3
A9,A19 B20 A15 A1,A16 A1 A13 B16,B22 A12 A13 A14,B20 B11 B9 B17,A8 B22 A5 B21,B16 A13 B22 B12,A9 A19 A21 B17,A5 A23 B7 A9
B9,C19 D20 C15 C1,C16 C1 C13 D16,D22 C12 C13 C14,D20 D11 D9 D17,C8 D22 C5 D21,D16 C13 D22 D12,C9 C19 C21 D17,C5 C23 D7 C9
C9,E19 F20 E15 E1,E16 E1 E13 F16,F22 E12 E13 E14,F20 F11 F9 F17,E8 F22 E5 F21,F16 E13 F22 F12,E9 E19 E21 F17,E5 E23 F7 E9
D9,G19 H20 G15 G1,G16 G1 G13 H16,H22 G12 G13 G14,H20 H11 H9 H17,G8 H22 G5 H21,H16 G13 H22 H12,G9 G19 G21 H17,G5 G23 H7 G9
E9,I19 J20 I15 I1,I16 I1 I13 J16,J22 I12 I13 I14,J20 J11 J9 J17,I8 J22 I5 J21,J16 I13 J22 J12,I9 I19 I21 J17,I5 I23 J7 I9
F9,K19 L20 K15 K1,K16 K1 K13 L16,L22 K12 K13 K14,L20 L11 L9 L17,K8 L22 K5 L21,L16 K13 L22 L12,K9 K19 K21 L17,K5 K23 L7 K9
G9,M19 N20 M15 M1,M16 M1 M13 N16,N22 M12 M13 M14,N20 N11 N9 N17,M8 N22 M5 N21,N16 M13 N22 N12,M9 M19 M21 N17,M5 M23 N7 M9
H9,O19 P20 O15 O1,O16 O1 O13 P16,P22 O12 O13 O14,P20 P11 P9 P17,O8 P22 O5 P21,P16 O13 P22 P12,O9 O19 O21 P17,O5 O23 P7 O9
A10,B12 A23 A2 A4,A2 B15 B22 B1,B4 A6 B10 B5,B10 B15 B24 B21,B1 A10 B9 B4,A12 B18 B1 B24,A22 B12 B15 B7,B21 A17 B6 A10
B10,D12 C23 C2 C4,C2 D15 D22 D1,D4 C6 D10 D5,D10 D15 D24 D21,D1 C10 D9 D4,C12 D18 D1 D24,C22 D12 D15 D7,D21 C17 D6 C10
C10,F12 E23 E2 E4,E2 F15 F22 F1,F4 E6 F10 F5,F10 F15 F24 F21,F1 E10 F9 F4,E12 F18 F1 F24,E22 F12 F15 F7,F21 E17 F6 E10
D10,H12 G23 G2 G4,G2 H15 H22 H1,H4 G6 H10 H5,H10 H15 H24 H21,H1 G10 H9 H4,G12 H18 H1 H24,G22 H12 H15 H7,H21 G17 H6 G10
E10,J12 I23 I2 I4,I2 J15 J22 J1,J4 I6 J10 J5,J10 J15 J24 J21,J1 I10 J9 J4,I12 J18 J1 J24,I22 J12 J15 J7,J21 I17 J6 I10
F10,L14 K7 K4 L23,K6 K19 L14 K13,L22 K8 K5 L24,L8 K8 K15 L21,L1 K10 L9 L4,K12 L18 L1 L24,K22 L12 L15 L7,L21 K17 L6 K10
G10,N12 M23 M2 M4,M2 N15 N22 N1,N4 M6 N10 N5,N10 N15 N24 N21,N1 M10 N9 N4,M12 N18 N1 N24,M22 N12 N15 N7,N21 M17 N6 M10
H10,P12 O23 O2 O4,O2 P15 P22 P1,P4 O6 P10 P5,P10 P15 P24 P21,P1 O10 P9 P4,O12 P18 P1 P24,O22 P12 P15 P7,P21 O17 P6 O10
A11,A18 A24 B15 A13,B10 A23 A17 B13,A20 B21 B6 B17,A17 B5 A14 A9,B5 B23 A20 A16,B21 A9 B8 B4,B18 A10 B24 A17,A20 A19 A21 B17
B11,C18 C24 D15 C13,D10 C23 C17 D13,C20 D21 D6 D17,C17 D5 C14 C9,D5 D23 C20 C16,D21 C9 D8 D4,D18 C10 D24 C17,C20 C19 C21 D17
C11,E18 E24 F15 E13,F10 E23 E17 F13,E20 F21 F6 F17,E17 F5 E14 E9,F5 F23 E20 E16,F21 E9 F8 F4,F18 E10 F24 E17,E20 E19 E21 F17
D11,G18 G24 H15 G13,H10 G23 G17 H13,G20 H21 H6 H17,G17 H5 G14 G9,H5 H23 G20 G16,H21 G9 H8 H4,H18 G10 H24 G17,G20 G19 G21 H17
E11,I18 I24 J15 I13,J10 I23 I17 J13,I20 J21 J6 J17,I17 J5 I14 I9,J5 J23 I20 I16,J21 I9 J8 J4,J18 I10 J24 I17,I20 I19 I21 J17
F11,K18 K24 L15 K13,L10 K23 K17 L13,K20 L21 L6 L17,K17 L5 K14 K9,L5 L23 K20 K16,L21 K9 L8 L4,L18 K10 L24 K17,K20 K19 K21 L17
G11,M18 M24 N15 M13,N10 M23 M17 N13,M20 N21 N6 N17,M17 N5 M14 M9,N5 N23 M20 M16,N21 M9 N8 N4,N18 M10 N24 M17,M20 M19 M21 N17
H11,O18 O24 P15 O13,P10 O23 O17 P13,O20 P21 P6 P17,O17 P5 O14 O9,P5 P23 O20 O16,P21 O9 P8 P4,P18 O10 P24 O17,O20 O19 O21 P17
A12,A9 A20 A10 A12,B3 B23 A18 A9,B12 A18 B2 A22,B23 A23 A10 A24,A23 A22 B3 B12,B17 A21 B6 A3,A3 A16 B5 B20,A6 B19 A3 B4
B12,C9 C20 C10 C12,D3 D23 C18 C9,D12 C18 D2 C22,D23 C23 C10 C24,C23 C22 D3 D12,D17 C21 D6 C3,C3 C16 D5 D20,C6 D19 C3 D4
C12,E9 E20 E10 E12,F3 F23 E18 E9,F12 E18 F2 E22,F23 E23 E10 E24,E23 E22 F3 F12,F17 E21 F6 E3,E3 E16 F5 F20,E6 F19 E3 F4
D12,G9 G20 G10 G12,H3 H23 G18 G9,H12 G18 H2 G22,H23 G23 G10 G24,G23 G22 H3 H12,H17 G21 H6 G3,G3 G16 H5 H20,G6 H19 G3 H4
E12,I9 I20 I10 I12,J3 J23 I18 I9,J12 I18 J2 I22,J23 I23 I10 I24,I23 I22 J3 J12,J17 I21 J6 I3,I3 I16 J5 J20,I6 J19 I3 J4
F12,K9 K20 K10 K12,L3 L23 K18 K9,L12 K18 L2 K22,L23 K23 K10 K24,K23 K22 L3 L12,L17 K21 L6 K3,K3 K16 L5 L20,K6 L19 K3 L4
G12,M9 M20 M10 M12,N3 N23 M18 M9,N12 M18 N2 M22,N23 M23 M10 M24,M23 M22 N3 N12,N17 M21 N6 M3,M3 M16 N5 N20,M6 N19 M3 N4
H12,O9 O20 O10 O12,P3 P23 O18 O9,P12 O18 P2 O22,P23 O23 O10 O24,O23 O22 P3 P12,P17 O21 P6 O3,O3 O16 P5 P20,O6 P19 O3 P4