reagent_name,reaction_name
dl_alanine_100x,ala
l_arginine_100x,arg
l_asparagine_100x,asn
l_aspartic_acid_45x,asp
l_cysteine_100x,cys
l_glutamic_acid_75x,glu
l_glutamine_100x,gln
glycine_100x,gly
l_histidine_100x,his
l_isoleucine_100x,ile
l_leucine_100x,leu
l_lysine_100x,lys
l_methionine_100x,met
l_phenylalanine_100x,phe
prolines_100x,pro
l_serine_100x,ser
l_threonine_100x,thr
l_tryptophan_100x,trp
l_tyrosine_100x,tyr
l_valine_100x,val
dl_alanine_75x,ala
l_arginine_75x,arg
l_asparagine_75x,asn
l_aspartic_acid_40x,asp
l_cysteine_75x,cys
l_glutamic_acid_75x,glu
l_glutamine_75x,gln
glycine_75x,gly
l_histidine_75x,his
l_isoleucine_75x,ile
l_leucine_75x,leu
l_lysine_75x,lys
l_methionine_75x,met
l_phenylalanine_75x,phe
prolines_75x,pro
l_serine_75x,ser
l_threonine_75x,thr
l_tryptophan_75x,trp
l_tyrosine_75x,tyr
l_valine_75x,val